asset,type,cue_count,cues,status
courtroom-empty-jury-box-01.jpg,image,1,1,needed
microphone-sm58-on-stand-shadow-01.jpg,image,10,2 34 42 58 66 82 98 114 122 138,needed
office-chair-sit-down-silhouette-broll-01.mp4,video,1,3,needed
corkboard-red-string-evidence-wall-01.jpg,image,1,4,needed
tape-machine-reels-spinning-close-01.mp4,video,7,5 35 65 80 95 110 125,needed
bon-scott-handwritten-setlist-01.jpeg,image,1,6,needed
vinyl-spinning-top-down-blur-01.jpg,image,11,7 23 47 63 71 79 87 103 111 119 127,needed
archive-paper-texture-fullframe-01.jpg,image,11,8 16 24 48 56 64 72 88 96 128 136,needed
desk-calendar-1980-january-macro-01.jpg,image,1,9,needed
paper-shuffle-hands-desk-broll-01.mp4,video,7,10 25 55 70 85 100 115,needed
electric-guitar-body-sunburst-macro-01.jpg,image,9,11 19 51 59 67 83 99 107 123,needed
cassette-tape-chrome-shell-01.jpg,image,10,12 36 44 52 68 84 92 108 116 124,needed
neon-arrow-sign-generic-motel-01.jpg,image,9,13 21 37 53 69 77 93 101 133,needed
call:counter_rush,call,1,14,needed
film-dust-scratch-overlay-loop-01.mp4,video,7,15 45 60 75 90 105 120,needed
35mm-film-leader-countdown-frame-01.jpg,image,9,17 33 41 49 73 81 97 113 121,needed
wallet-leather-open-empty-01.jpg,image,1,18,needed
memorial-flowers-rain-cemetery-wide-01.jpg,image,1,20,needed
rain-on-window-city-bokeh-01.jpg,image,9,22 38 46 78 86 94 102 118 126,needed
brian-johnson-press-clipping-01.jpg,image,1,26,needed
geordie-band-lp-sleeve-generic-1970s-01.jpg,image,2,27 61,needed
legal-pad-handwritten-lyrics-close-01.jpg,image,1,28,needed
studio-audience-laugh-reaction-stock-01.mp4,video,1,29,needed
bon-scott-live-mic-02.jpeg,image,1,30,needed
macro-fingerprint-ink-paper-01.jpg,image,7,31 32 74 129 130 132 139,needed
crowd-silhouette-hands-up-stadium-01.mp4,video,3,39 76 89,needed
highway-night-lights-driving-pov-01.mp4,video,1,40,needed
chandelier-crystal-ceiling-vintage-01.jpg,image,1,43,needed
motorcycle-night-highway-b-roll-danger-01.mp4,video,2,50 106,needed
call:animated_title,call,4,54 104 109 112,needed
brian-johnson-press-clipping-02.jpg,image,1,57,needed
brian-johnson-press-clipping-03.jpg,image,1,62,needed
brian-johnson-press-clipping-04.jpg,image,1,91,needed
brian-johnson-press-clipping-05.jpg,image,1,117,needed
brian-johnson-press-clipping-06.jpg,image,1,131,needed
call:lower_third,call,2,134 135,needed
brian-johnson-press-clipping-07.jpg,image,1,137,needed
