id,cue,t_start,t_end,duration_sec,spoken,visual_mode,text_graphic_type,text_graphic_text,text_graphic_style,artifact_object,artifact_story_link,artifact_preference,editorial_intent,people,situation,date_from,date_to,location,search_queries,avoid,media_type,reuse_id,priority,status
m000,0,0.0,2.0,2.0,,text_graphic,transcription,The Unconventional Thought,typewriter,,,,Channel id on black + film grain before cold open (m001). Edit copy in media_tool m000 acquisition. Pair with SPECIAL_MEDIA_DELAY on m001 so m001 plate does not cover this card.,,Generated text graphic (title),,,,,,generated,,high,generated
m001,1,0.0,7.8,7.8,"I think Bon Scott knew he was going to die, not the date, not the hour, but he knew he was coming",historical,,,,,,,Rhetorical 'jury' — do NOT show a courtroom. Open on AC/DC at cultural peak (late 70s live) or 1980 press moment.,AC/DC|band,AC/DC live concert performance crowd and stage,1978,1980,,AC/DC live 1979 concert | AC/DC Highway to Hell tour 1979 stage | AC/DC audience 1979,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m002,2,7.8,16.18,8.38,"fast. I think he traded something to get even more badass, more famous than he already was before,",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m003,3,16.76,22.7,5.94,and he knew he was going to cost him everything. That's why he wrote Highway to Hell.,historical,,,,,,,Highway to Hell era live — peak Bon Scott stage energy.,Bon Scott|vocalist; AC/DC|band,AC/DC Highway to Hell tour live performance 1979,1979,1979,,AC/DC Highway to Hell tour 1979 | Bon Scott Highway to Hell live 1979,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m004,4,23.8,29.5,5.7,"Listen to Bon's voice on Highway to Hell, especially the title track. It always intrigued me,",historical,,,,,,,Highway to Hell era live — peak Bon Scott stage energy.,Bon Scott|vocalist; AC/DC|band,AC/DC Highway to Hell tour live performance 1979,1979,1979,,AC/DC Highway to Hell tour 1979 | Bon Scott Highway to Hell live 1979,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m005,5,29.5,35.7,6.2,"it's different. Am I the only one who notices that? In the early ACDC tracks, Bon is like a",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m006,6,35.7,41.62,5.92,"coiled spring, like someone ready to jump into a fight. Pure energy, swimming upstream,",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m007,7,42.3,48.28,5.98,"but by Highway to Hell, something shifts. He sounds looser, warmer, floating downstream.",historical,,,,,,,Highway to Hell era live — peak Bon Scott stage energy.,Bon Scott|vocalist; AC/DC|band,AC/DC Highway to Hell tour live performance 1979,1979,1979,,AC/DC Highway to Hell tour 1979 | Bon Scott Highway to Hell live 1979,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m008,8,49.12,56.24,7.12,"It almost sounds inebriated, but it's not alcohol. This is different. People who know about these",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m009,9,56.24,62.06,5.82,things might pick up on it. It's like a supernatural nonchalance. And what about the lyrics?,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m010,10,63.14,71.2,8.06,"No stop signs, speed limit, haste Satan, paying my dues. I'm on the highway to Hell. That's not",historical,,,,,,,Highway to Hell era live — peak Bon Scott stage energy.,Bon Scott|vocalist; AC/DC|band,AC/DC Highway to Hell tour live performance 1979,1979,1979,,AC/DC Highway to Hell tour 1979 | Bon Scott Highway to Hell live 1979,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m011,11,71.2,77.98,6.78,"just swagger, that's like acceptance. He's describing a momentum that he's decided not to resist.",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
